"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.880835409E1,-8.984964490E-1,8.849377632E0,4.151787758E0
3.881035857E1,-8.984964490E-1,8.839795113E0,4.161369801E0
3.881236305E1,-9.128693342E-1,8.835004807E0,4.146996975E0
3.881436753E1,-9.224512577E-1,8.835004807E0,4.161369801E0
3.881637201E1,-9.511970282E-1,8.844586372E0,4.161369801E0
3.881837649E1,-9.607789516E-1,8.825422287E0,4.170951843E0
3.882038097E1,-9.607789516E-1,8.815840721E0,4.146996975E0
3.882238545E1,-9.607789516E-1,8.806258202E0,4.161369801E0
3.882438993E1,-9.895246029E-1,8.815840721E0,4.161369801E0
3.882639440E1,-9.847337008E-1,8.806258202E0,4.156579018E0
3.882839888E1,-9.799427986E-1,8.806258202E0,4.161369801E0
3.883040336E1,-9.703608751E-1,8.801467896E0,4.161369801E0
3.883240784E1,-9.991065264E-1,8.796676636E0,4.146996975E0
3.883441232E1,-9.703608751E-1,8.796676636E0,4.123042107E0
3.883641680E1,-9.655698538E-1,8.801467896E0,4.113460064E0
3.883842128E1,-9.607789516E-1,8.801467896E0,4.137414932E0
3.884042576E1,-9.703608751E-1,8.806258202E0,4.123042107E0
3.884243024E1,-9.655698538E-1,8.801467896E0,4.099087238E0
3.884443472E1,-9.511970282E-1,8.820631981E0,4.123042107E0
3.884643920E1,-9.559879303E-1,8.820631981E0,4.123042107E0
3.884844368E1,-9.607789516E-1,8.820631981E0,4.123042107E0
3.885044816E1,-9.416151047E-1,8.835004807E0,4.099087238E0
3.885245263E1,-9.320331812E-1,8.839795113E0,4.113460064E0
3.885445711E1,-9.224512577E-1,8.844586372E0,4.103878498E0
3.885646159E1,-9.272422194E-1,8.835004807E0,4.123042107E0
3.885846607E1,-9.272422194E-1,8.835004807E0,4.113460064E0
3.886047055E1,-9.080783725E-1,8.830213547E0,4.118251324E0
3.886247503E1,-9.224512577E-1,8.844586372E0,4.113460064E0
